,Year,Month,Common_Words,Word_Count
0,1949,10,around,11.0
1,1949,10,Baptist,11.0
2,1949,10,Church,11.0
3,1949,10,event,6.0
4,1949,10,took,6.0
5,1949,10,place,6.0
6,1949,10,early,6.0
7,1949,10,fall,6.0
8,1949,10,1949-50,6.0
9,1949,10,occurred,6.0
10,1949,10,Boy,6.0
11,1949,10,Scout,6.0
12,1949,10,meeting,6.0
13,1949,10,sit,6.0
14,1949,10,1949,6.0
15,1949,10,Lackland,6.0
16,1949,10,AFB,6.0
17,1949,10,TX,6.0
18,1949,10,Lights,6.0
19,1949,10,racing,6.0
20,1955,10,Green/Orange,11.0
21,1955,10,circular,11.0
22,1955,10,disc,11.0
23,1955,10,Chester,11.0
24,1955,10,England,11.0
25,1955,10,KNOWN,11.0
26,1955,10,AIRCRAFT,11.0
27,1955,10,1955,11.0
28,1955,10,maybe,11.0
29,1955,10,today,11.0
30,1955,10,COULD,11.0
31,1955,10,MAKE,11.0
32,1955,10,SPEEDY,11.0
33,1955,10,360,11.0
34,1955,10,DEGREE,11.0
35,1955,10,CIRCLE,11.0
36,1955,10,MANUVER,11.0
37,1955,10,SOUND,11.0
38,1955,10,distant,11.0
39,1955,10,star-like,11.0
40,1956,10,leaving,11.0
41,1956,10,glass,11.0
42,1956,10,object,11.0
43,1956,10,east,11.0
44,1956,10,north,11.0
45,1956,10,older,6.0
46,1956,10,brother,6.0
47,1956,10,twin,6.0
48,1956,10,sister,6.0
49,1956,10,Edna,6.0
50,1956,10,theater,6.0
51,1956,10,9,6.0
52,1956,10,PM,6.0
53,1956,10,bikes,6.0
54,1956,10,took,6.0
55,1956,10,different,6.0
56,1956,10,route,6.0
57,1956,10,home,6.0
58,1956,10,Disk,6.0
59,1956,10,center,6.0
60,1960,10,aircraft,11.0
61,1960,10,Marine,6.0
62,1960,10,1st,6.0
63,1960,10,Lt.,6.0
64,1960,10,flying,6.0
65,1960,10,FJ4B,6.0
66,1960,10,fighter/attack,6.0
67,1960,10,solo,6.0
68,1960,10,night,6.0
69,1960,10,exercise,6.0
70,1960,10,clean,6.0
71,1960,10,ordinan,6.0
72,1961,10,father,11.0
73,1961,10,sphere,11.0
74,1961,10,October,11.0
75,1961,10,1961,11.0
76,1961,10,disk,11.0
77,1961,10,high,11.0
78,1961,10,89,6.0
79,1961,10,brother,6.0
80,1961,10,52,6.0
81,1961,10,girl,6.0
82,1961,10,us,6.0
83,1961,10,51,6.0
84,1961,10,49,6.0
85,1961,10,fellow,6.0
86,1961,10,worked,6.0
87,1961,10,still,6.0
88,1961,10,livi,6.0
89,1961,10,Observed,6.0
90,1961,10,dull,6.0
91,1961,10,silver,6.0
92,1965,10,blue,11.0
93,1965,10,sky,11.0
94,1965,10,UFO,11.0
95,1965,10,seen,11.0
96,1965,10,slowly,7.666666666666667
97,1965,10,moved,7.666666666666667
98,1965,10,color,7.666666666666667
99,1965,10,observed,7.666666666666667
100,1965,10,hovering,7.666666666666667
101,1965,10,moving,7.666666666666667
102,1965,10,side,7.666666666666667
103,1965,10,clear,7.666666666666667
104,1965,10,flying,7.666666666666667
105,1965,10,witnesses,7.666666666666667
106,1965,10,penarth,4.333333333333334
107,1965,10,uk,4.333333333333334
108,1965,10,circle,4.333333333333334
109,1965,10,3mins,4.333333333333334
110,1965,10,stayed,4.333333333333334
111,1965,10,30ft,4.333333333333334
112,1966,10,object,11.0
113,1966,10,1966,8.5
114,1966,10,north,8.5
115,1966,10,driving,8.5
116,1966,10,ft,8.5
117,1966,10,low,6.0
118,1966,10,Saucer,6.0
119,1966,10,wide,6.0
120,1966,10,stars,6.0
121,1966,10,flew,6.0
122,1966,10,20,6.0
123,1966,10,Anacortes,6.0
124,1966,10,friend,6.0
125,1966,10,craft,6.0
126,1966,10,100,6.0
127,1966,10,feet,6.0
128,1966,10,ground,6.0
129,1966,10,work,6.0
130,1966,10,saw,6.0
131,1966,10,way,6.0
132,1968,10,bright,11.0
133,1968,10,light,11.0
134,1968,10,shaped,11.0
135,1968,10,hovering,11.0
136,1968,10,first,7.666666666666667
137,1968,10,thought,7.666666666666667
138,1968,10,trail,7.666666666666667
139,1968,10,soundless,7.666666666666667
140,1968,10,UFO,7.666666666666667
141,1968,10,white,7.666666666666667
142,1968,10,lights,7.666666666666667
143,1968,10,1968,7.666666666666667
144,1968,10,craft,7.666666666666667
145,1968,10,Lakeland,7.666666666666667
146,1968,10,walla,7.666666666666667
147,1968,10,object,7.666666666666667
148,1968,10,mine,7.666666666666667
149,1968,10,ROUND,4.333333333333334
150,1968,10,ORANGE,4.333333333333334
151,1968,10,WOULD,4.333333333333334
152,1970,10,1970,11.0
153,1970,10,object,11.0
154,1970,10,seen,5.0
155,1970,10,craft,5.0
156,1970,10,orb,5.0
157,1970,10,Bright,5.0
158,1970,10,took,5.0
159,1970,10,shaped,5.0
160,1970,10,light,5.0
161,1970,10,turned,5.0
162,1970,10,saw,5.0
163,1970,10,lights,5.0
164,1970,10,sky,5.0
165,1970,10,stopped,5.0
166,1970,10,silver,3.0
167,1970,10,disc,3.0
168,1970,10,family,3.0
169,1970,10,neighbors,3.0
170,1970,10,Slow,3.0
171,1970,10,moving,3.0
172,1971,10,shaped,11.0
173,1971,10,light,7.666666666666667
174,1971,10,object,7.666666666666667
175,1971,10,one,7.666666666666667
176,1971,10,looked,7.666666666666667
177,1971,10,saw,7.666666666666667
178,1971,10,objects,7.666666666666667
179,1971,10,sky,7.666666666666667
180,1971,10,stars,7.666666666666667
181,1971,10,bright,7.666666666666667
182,1971,10,hovered,7.666666666666667
183,1971,10,length,7.666666666666667
184,1971,10,green,4.333333333333334
185,1971,10,oval,4.333333333333334
186,1971,10,local,4.333333333333334
187,1971,10,church,4.333333333333334
188,1971,10,power,4.333333333333334
189,1971,10,lines,4.333333333333334
190,1971,10,Powerless,4.333333333333334
191,1971,10,UFO,4.333333333333334
192,1972,10,lights,11.0
193,1972,10,object,11.0
194,1972,10,room,7.666666666666667
